[0.17073170731707277, 0.5]
[0.17798165137614663, 0.5128205128205128]
[0.18491921005386003, 0.5256410256410257]
[0.19156414762741703, 0.5384615384615384]
[0.19793459552495746, 0.5512820512820513]
[0.097938144329896, 0.5641025641025641]
[0.10804020100502429, 0.5769230769230769]
[0.1176470588235288, 0.5897435897435898]
[0.12679425837320532, 0.6025641025641025]
[0.13551401869158855, 0.6153846153846154]
[0.14383561643835596, 0.6282051282051282]
[0.15178571428571425, 0.641025641025641]
[0.15938864628820973, 0.6538461538461539]
[0.05882352941176526, 0.6666666666666666]
[0.045248868778281146, 0.6794871794871795]
[0.03167420814479638, 0.6923076923076923]
[0.018099547511313367, 0.7051282051282051]
[0.004524886877828614, 0.717948717948718]
[0.008888888888888889, 0.7307692307692307]
[0.021645021645021138, 0.7435897435897436]
[0.033755274261602894, 0.7564102564102564]
[0.045267489711933284, 0.7692307692307692]
[0.3183728999885055, 0.782051282051282]
[0.3086483992058506, 0.7948717948717949]
[0.2989260511321643, 0.8076923076923077]
[0.2892058550527126, 0.8205128205128205]
[0.2794878102530703, 0.8333333333333333]
[0.26977191601913475, 0.8461538461538461]
[0.26005817163711675, 0.858974358974359]
[0.2503465763935441, 0.8717948717948718]
[0.24063712957525926, 0.8846153846153846]
[0.6221322537112067, 0.8974358974358974]
[0.6167341430499356, 0.9102564102564102]
[0.6113360323886654, 0.9230769230769231]
[0.605937921727399, 0.9358974358974359]
[0.6005398110661319, 0.9487179487179487]
[0.5951417004048619, 0.9615384615384615]
[0.5897435897435959, 0.9743589743589743]
[0.5843454790823259, 0.9871794871794872]
[0.9999999999999997, 1.0]
