[1.00000000000000, 0.0]
[0.999974842134393, 0.02040816326530612]
[0.999896643497584, 0.04081632653061224]
[0.999761102115573, 0.061224489795918366]
[0.999563616528024, 0.08163265306122448]
[0.999299268436247, 0.1020408163265306]
[0.998962805036158, 0.12244897959183673]
[0.998548621190131, 0.14285714285714285]
[0.998050741631895, 0.16326530612244897]
[0.997462803445575, 0.18367346938775508]
[0.996778039114605, 0.2040816326530612]
[0.995989260499188, 0.22448979591836732]
[0.995088844173118, 0.24489795918367346]
[0.994068718632647, 0.26530612244897955]
[0.992920353982301, 0.2857142857142857]
[0.991634754805369, 0.3061224489795918]
[0.990202457040070, 0.32653061224489793]
[0.988613529805760, 0.3469387755102041]
[0.986857583255587, 0.36734693877551017]
[0.984923783670912, 0.3877551020408163]
[0.982800877155265, 0.4081632653061224]
[0.980477223427332, 0.42857142857142855]
[0.977940841347249, 0.44897959183673464]
[0.975179467930371, 0.4693877551020408]
[0.972180632697416, 0.4897959183673469]
[0.968931749266789, 0.5102040816326531]
[0.965420226098522, 0.5306122448979591]
[0.961633598231672, 0.5510204081632653]
[0.957559681697613, 0.5714285714285714]
[0.953186752017812, 0.5918367346938775]
[0.948503747782800, 0.6122448979591836]
[0.943500499735434, 0.6326530612244897]
[0.938167985025059, 0.6530612244897959]
[0.932498605343086, 0.673469387755102]
[0.926486486486487, 0.6938775510204082]
[0.920127795527157, 0.7142857142857142]
[0.913421070211771, 0.7346938775510203]
[0.906367553518911, 0.7551020408163265]
[0.898971524522494, 0.7755102040816326]
[0.891240614944584, 0.7959183673469387]
[0.883186099145799, 0.8163265306122448]
[0.874823143942215, 0.836734693877551]
[0.866171003717472, 0.8571428571428571]
[0.857253145989346, 0.8775510204081632]
[0.848097293056101, 0.8979591836734693]
[0.838735366727722, 0.9183673469387754]
[0.829203325530713, 0.9387755102040816]
[0.819540887182420, 0.9591836734693877]
[0.809791133492942, 0.9795918367346939]
[0.800000000000000, 1.0]
